;k;g;a;xE;CLUSTER;expP;stdE;xP;stdP;KG
304;200.0;20.0;0.65;11.002092638018413;0.0;1.1152065631643149;0.0034964404497693923;1.3293889646516273;0.0015169131950581868;10.0
403;200.0;20.0;0.7;4.060626981450598;0.0;1.3826666281262463;0.0026898479409671228;0.636492696035396;0.0012667164666954455;10.0
503;200.0;20.0;0.75;1.2513419715649745;0.0;1.6995835171997369;0.0021929297462408488;0.2813439828092825;0.0010670297495757118;10.0
602;200.0;20.0;0.8;0.33616996267960325;0.0;2.08392508746046;0.0017418373072916795;0.1208577854903279;0.0009593760289818877;10.0
13;200.0;20.0;0.85;0.12175013418285388;0.0;2.9640782621182478;0.0012526917561240813;0.10258411872362849;0.0008460514926548037;10.0
791;200.0;20.0;0.9;0.014354662033539134;0.0;3.1811885877759667;0.0008596332394291862;0.02124733261313071;0.0009148420101512238;10.0
880;200.0;20.0;0.95;0.0019210179776455387;0.0;3.6155012642103537;0.000484001493618887;0.023719056317761143;0.0015572483050119712;10.0
969;200.0;20.0;1.0;0.0003141894927831577;0.0;3.807840523514351;0.0003137459423891463;0.044156805726260656;0.003957560271961452;10.0
12;200.0;30.0;0.5;54.072332013944504;0.0;0.4277047683788257;0.0063592240327336475;3.4018660715680027;0.001602061907419328;6.666666666666667
108;200.0;30.0;0.55;41.4147546560592;0.0;0.5520554946836747;0.005441416681770186;6.2273362846104074;0.0021891509699304233;6.666666666666667
207;200.0;30.0;0.6;32.316582850047524;0.0;0.7149903073163099;0.0048422935811030295;6.5067580388803625;0.0023542851659198137;6.666666666666667
305;200.0;30.0;0.65;21.129029130739827;0.0;0.906547516044958;0.004032838658769827;5.03154637446838;0.002287593447135511;6.666666666666667
404;200.0;30.0;0.7;10.003176636832661;0.0;1.129808729454275;0.0029917619263887373;3.2529742980079703;0.002110331599184316;6.666666666666667
504;200.0;30.0;0.75;3.622039757038544;0.0;1.3874309064019577;0.0022849841716329053;1.7599047328812054;0.001844171313105905;6.666666666666667
603;200.0;30.0;0.8;1.1240201183428074;0.0;1.687632236593372;0.0018261138740715281;0.8306604080421858;0.0015833761005718866;6.666666666666667
698;200.0;30.0;0.85;0.3021970525523406;0.0;2.0456800595057847;0.0013939034067321984;0.3668423311946396;0.0014204696463140398;6.666666666666667
792;200.0;30.0;0.9;0.06529198890502462;0.0;2.4913359655195237;0.0009550616221680696;0.1592126084229105;0.0013578394584757953;6.666666666666667
881;200.0;30.0;0.95;0.009739859841003349;0.0;3.0479361615942038;0.0005468261437391108;0.06788984486748817;0.0013222086626419618;6.666666666666667
970;200.0;30.0;1.0;0.0007100893080773043;0.0;3.686703478157573;0.00019407192374892623;0.030478251634323137;0.0013465057524202756;6.666666666666667
13;200.0;40.0;0.5;72.43967440450083;0.0;0.41271058556350576;0.006510984911382143;4.48713871864226;0.0016212946369341212;5.0
109;200.0;40.0;0.55;58.093635405976976;0.0;0.4748606082805211;0.006160126950330451;4.643508467867298;0.0017654329313692898;5.0
208;200.0;40.0;0.6;42.262952255626324;0.0;0.6110445666613521;0.00516142668989798;8.084727309756456;0.002374560205239367;5.0
306;200.0;40.0;0.65;30.05849677105929;0.0;0.7795160373744794;0.004406610978034035;8.367657478642574;0.002572193026384514;5.0
405;200.0;40.0;0.7;17.044751451556465;0.0;0.9770216592061264;0.0034262695540110953;6.7914183752656285;0.0025704328131785034;5.0
505;200.0;40.0;0.75;7.134104709570834;0.0;1.2034769190007224;0.0024987475278375392;4.481200323236647;0.00239623573192548;5.0
604;200.0;40.0;0.8;2.4110508710388032;0.0;1.4615840117932208;0.001918849116763958;2.463894172289103;0.0021157208464078797;5.0
699;200.0;40.0;0.85;0.7152320970109919;0.0;1.7607146947836838;0.0014864822958894047;1.1839725232666494;0.0018502096398366496;5.0
793;200.0;40.0;0.9;0.1785757046547769;0.0;2.1180543571782993;0.0010639253914221925;0.5348352911409741;0.001690220746590848;5.0
882;200.0;40.0;0.95;0.031832013924388704;0.0;2.5592477164398133;0.0006451449767626023;0.23877594673634134;0.0016190844337152478;5.0
971;200.0;40.0;1.0;0.002839873493579125;0.0;3.1128540535366245;0.0002698833316168152;0.1045993850781262;0.0015741563617826591;5.0
14;200.0;50.0;0.5;82.11489084338581;0.0;0.4417055264211119;0.00581833920807382;11.907211931322214;0.0022470593173713788;4.0
110;200.0;50.0;0.55;78.6582551017882;0.0;0.4407497261041205;0.0067889444345933395;3.4558509639473933;0.0014239782051187438;4.0
209;200.0;50.0;0.6;55.78393848218118;0.0;0.5435956082855933;0.005696619334999004;7.037038638081796;0.0020850820794860413;4.0
307;200.0;50.0;0.65;38.943287822803434;0.0;0.6934405197484318;0.004739378400647518;10.060442101884249;0.002589063936721775;4.0
406;200.0;50.0;0.7;24.414491899524908;0.0;0.8720563299674196;0.003826990716118485;9.818634310840226;0.0027675581686043968;4.0
506;200.0;50.0;0.75;11.644972584668432;0.0;1.0785104450000431;0.0028075828002929407;7.651663283944633;0.002737190331242692;4.0
605;200.0;50.0;0.8;4.271753347605139;0.0;1.3115593386435582;0.002065767733656465;4.844139663911988;0.002520482291087079;4.0
700;200.0;50.0;0.85;1.3372119832422715;0.0;1.5757589963737733;0.0015782805631978346;2.5883199068402734;0.0022279895184531377;4.0
794;200.0;50.0;0.9;0.3655308905129364;0.0;1.8836308194332791;0.0011582164395536705;1.2383020828093962;0.0019892322391408747;4.0
883;200.0;50.0;0.95;0.07734319681342303;0.0;2.2545062107398564;0.0007481232292726415;0.5692145313250633;0.0018559883474869156;4.0
972;200.0;50.0;1.0;0.009077244757616672;0.0;2.713708973967616;0.0003594438335136443;0.2598548616614512;0.0017888894162952273;4.0
15;200.0;60.0;0.5;83.01281483183209;0.0;0.4821697293553699;0.004971162539976665;30.170706609475136;0.003093365414211279;3.3333333333333335
111;200.0;60.0;0.55;93.90090742696188;0.0;0.44049335942282747;0.0067349201701943405;4.871614221230475;0.001535977979479033;3.3333333333333335
210;200.0;60.0;0.6;73.10840584787002;0.0;0.5000631299115419;0.006319989682026954;5.1895764796027635;0.001709191574154354;3.3333333333333335
308;200.0;60.0;0.65;49.36977567503725;0.0;0.6314942953254469;0.005129817482199617;10.010190365416753;0.0024343397248445275;3.3333333333333335
407;200.0;60.0;0.7;32.093717556528965;0.0;0.7947879927978728;0.004180465469674373;11.732150721897016;0.0027988868266097026;3.3333333333333335
507;200.0;60.0;0.75;16.90766039357641;0.0;0.9861843518402202;0.003145489786220525;10.571357406784756;0.002921617280292982;3.3333333333333335
606;200.0;60.0;0.8;6.76507775616427;0.0;1.202349117068393;0.0022651845568463407;7.575265052076379;0.0028064768652647;3.3333333333333335
701;200.0;60.0;0.85;2.2220672532213492;0.0;1.4440406850092533;0.0016917917978487762;4.478703309709113;0.002538467594691303;3.3333333333333335
795;200.0;60.0;0.9;0.637820164769903;0.0;1.7195473827739822;0.0012474135100061445;2.299759234511992;0.0022605379792830817;3.3333333333333335
884;200.0;60.0;0.95;0.15131085916559944;0.0;2.045163126473033;0.0008395692274462728;1.095013851512158;0.0020685820216250314;3.3333333333333335
973;200.0;60.0;1.0;0.023119209726817098;0.0;2.442249190563599;0.0004542176203414733;0.5119365222453922;0.0019653605230622873;3.3333333333333335
16;200.0;70.0;0.5;75.0487942329848;0.0;0.5349404806580613;0.004043806781786232;71.55020760868246;0.004152313173040979;2.857142857142857
112;200.0;70.0;0.55;102.30097912799887;0.0;0.4614382316804239;0.006219235699183105;9.891038837508725;0.0019545223641997678;2.857142857142857
211;200.0;70.0;0.6;92.1503936984245;0.0;0.4743637143177108;0.006843619907683591;4.0365590200428665;0.001439479288414472;2.857142857142857
309;200.0;70.0;0.65;62.02364892029939;0.0;0.5855758935307369;0.005581539251780783;8.792238369548874;0.0021817916252476442;2.857142857142857
408;200.0;70.0;0.7;40.33247239741458;0.0;0.7357644169958756;0.0045133479589310466;12.552422987827391;0.0027304179372509216;2.857142857142857
508;200.0;70.0;0.75;22.735599661767665;0.0;0.9143793059846276;0.003474381518052869;12.85779190113166;0.002994806688031885;2.857142857142857
607;200.0;70.0;0.8;9.888102488676767;0.0;1.1178666020698855;0.0024996667371016954;10.297021671776637;0.0029955098296132287;2.857142857142857
702;200.0;70.0;0.85;3.4214080859398357;0.0;1.3439544721473111;0.0018282955830278246;6.6809381352503765;0.002784271840763984;2.857142857142857
796;200.0;70.0;0.9;1.0213526451612427;0.0;1.5972158529140317;0.0013456250245867556;3.68003593862768;0.002496652909196837;2.857142857142857
885;200.0;70.0;0.95;0.2586701151087701;0.0;1.890697421742788;0.0009237108010538938;1.8321864017800655;0.0022639917911583857;2.857142857142857
974;200.0;70.0;1.0;0.04749681974887149;0.0;2.243127498320999;0.0005405573665546993;0.8755522557076731;0.002119870275876164;2.857142857142857
17;200.0;80.0;0.5;61.177764503029096;1.0;0.589352754017691;0.0032216592753787497;134.9913078051483;0.005105096250649589;2.5
113;200.0;80.0;0.55;105.45530490603365;0.0;0.4889516892733741;0.005610071076456872;20.29281139080098;0.002517031819716743;2.5
212;200.0;80.0;0.6;109.67773142403964;0.0;0.4639709552072697;0.007098593898949561;3.865636964204865;0.0013331832196107516;2.5
310;200.0;80.0;0.65;76.83200408361719;0.0;0.5514050616273508;0.0060576886099975346;7.137417503756549;0.0018943861441745413;2.5
409;200.0;80.0;0.7;49.50390023125939;0.0;0.6894481170925711;0.0048491883659515685;12.453861010466767;0.0025963580919478603;2.5
509;200.0;80.0;0.75;29.07665144745924;0.0;0.8567236544857456;0.0037857053592481632;14.380610531524225;0.002988941868489362;2.5
608;200.0;80.0;0.8;13.590900928162892;0.0;1.0497783944088452;0.0027512553766864487;12.758337977375074;0.0031084881788030604;2.5
703;200.0;80.0;0.85;4.9757138847467335;0.0;1.2642799454078062;0.001984410638084545;9.015751567775984;0.0029719843656159078;2.5
797;200.0;80.0;0.9;1.5411040861266376;0.0;1.5015558509448768;0.00145340775778627;5.312583287207926;0.002699082365778057;2.5
886;200.0;80.0;0.95;0.4094454724347309;0.0;1.771579634557919;0.0010100714954624274;2.7709250944429;0.002440485850945953;2.5
975;200.0;80.0;1.0;0.08434914569547175;0.0;2.091613924819866;0.0006190063355235773;1.359657444151358;0.002263562205028853;2.5
18;200.0;90.0;0.5;49.37000991397461;1.0;0.6383850896522371;0.0026223159094884247;184.01693107319332;0.005473295661432777;2.2222222222222223
114;200.0;90.0;0.55;100.01400811332852;0.0;0.5247496624609513;0.004865125590931738;42.126759282725395;0.003277279003145548;2.2222222222222223
213;200.0;90.0;0.6;121.51772064279206;0.0;0.4692889556266322;0.006944690498787257;5.282052150279377;0.0014518688920410608;2.2222222222222223
